y,x0,x1,x2
1.3318076021376352e-01,4.2408819540784606e+01,7.6742050567882075e+01,8.1336996478064833e+01
1.6948189979583758e-01,6.2163738866595564e-01,1.2429580370943610e+01,2.2066307168889470e+01
1.3726704709307780e-01,2.9215564262860617e+01,6.7785621383359569e+01,8.2326345596580111e+01
6.7639435824540725e-02,5.9835016102550798e-01,4.0011550263758487e+01,6.7214947792883549e+01
2.5236997354130566e-02,1.2829156838440317e-01,6.8952047914836626e+01,1.0312143450794903e+02
1.1513008053087703e-01,1.5308446083898355e-01,8.8728338506962814e+00,1.4609075029716557e+01
3.5621735242496358e-02,8.3509540882298827e-01,8.4187952376080617e+01,1.0327444388267347e+02
2.5739739203538708e-01,4.2655271360912392e+00,1.3814522003015643e+01,2.2552307636771300e+01
2.4285838574513641e-01,8.9363719390088434e+00,3.5509744667987249e+01,6.6553682960791136e+01
1.5022745206135571e-01,1.9331576165192740e+01,5.6795175152836926e+01,8.3942155513930857e+01
2.7531689170803075e-01,1.6251525021274364e+01,1.6598996745494002e+01,1.8361063780629209e+01
1.7177279323101513e-01,2.0386958522845344e+01,5.0665623077818530e+01,7.9725417527249490e+01
1.8468493268525701e-02,6.6640945629209927e-02,6.5297964595505320e+01,8.0272822326177618e+01
1.0197628437894900e-01,7.3485150715360681e-01,2.4456616363288404e+01,4.2029902341011024e+01
4.0765456772066411e-01,2.1991865589381220e+01,1.8077142346201736e+01,3.0977515579250987e+01
1.8911665657679499e-01,2.8520523476109307e+01,4.3915722038783130e+01,5.8554750840244502e+01
2.3155661993055168e-01,1.7384936681553068e+01,3.9984722908959519e+01,7.0424537004252358e+01
9.4998043319791586e-02,1.5707212635066753e-01,8.0079291407488000e+00,8.5433591394155801e+00
3.0483678333281422e-01,3.6551872386178461e+00,9.8131567500388517e+00,1.6015072176942098e+01
9.3015831129292209e-02,6.9776085334538995e-01,2.0291507098888165e+01,2.7532690130355682e+01
9.5219545000416822e-02,1.0234095509618180e+00,2.1077892537231037e+01,2.4394653721912711e+01
7.5433806265975969e-02,6.0836956052307690e-02,1.1103469902604040e+01,1.8682683354950861e+01
9.7266590872881489e-02,7.6709897591932219e-01,3.4554854742614133e+01,6.3136376210828629e+01
1.0040568991988430e-01,2.2670285975685767e+00,2.8047433033341644e+01,3.1204347410049024e+01
1.4307673882391508e-01,1.4870271566068227e+00,2.5033410407512235e+01,4.4775531481531601e+01
2.6260078167361228e-02,3.2252797227343322e-01,7.6901770608751136e+01,7.7035483846855840e+01
2.4106479039467887e-01,5.7383195744533788e+00,1.5611198098044317e+01,2.4081344461134325e+01
2.7031157141985268e-01,2.6861934606003619e+01,3.8423244947971106e+01,6.7899632518969042e+01
3.1513328355230331e-02,2.7888312551043564e+00,1.7714578079202798e+02,1.7614587662745396e+02
2.7746969662086750e-02,1.9111397717937649e-02,2.4267595619952264e+01,3.8886431370113030e+01
2.5244942063594139e-01,3.0748519792656136e+01,3.3299561504585235e+01,5.0632354098100819e+01
3.5568951934063886e-01,5.9865432594947672e+00,1.0467310642962746e+01,1.7300212010684938e+01
