y,x0,x1
1.7952780260552598e+04,7.6742050567882075e+01,8.1336996478064833e+01
1.2769301953250525e+02,1.2429580370943610e+01,2.2066307168889470e+01
1.1295758664613602e+04,6.7785621383359569e+01,8.2326345596580111e+01
1.9335503366821981e+03,4.0011550263758487e+01,6.7214947792883549e+01
7.9815101070602186e+03,6.8952047914836626e+01,1.0312143450794903e+02
1.0031472423937461e+02,8.8728338506962814e+00,1.4609075029716557e+01
1.8475273733433547e+04,8.4187952376080617e+01,1.0327444388267347e+02
2.5012683184108852e+02,1.3814522003015643e+01,2.2552307636771300e+01
6.2388123650178954e+02,3.5509744667987249e+01,6.6553682960791136e+01
5.7018969040877046e+03,5.6795175152836926e+01,8.3942155513930857e+01
7.7874549534068763e+02,1.6598996745494002e+01,1.8361063780629209e+01
4.0224375088230991e+03,5.0665623077818530e+01,7.9725417527249490e+01
1.0579052068853722e+04,6.5297964595505320e+01,8.0272822326177618e+01
6.9295022083095466e+02,2.4456616363288404e+01,4.2029902341011024e+01
3.2462737037350070e+02,1.8077142346201736e+01,3.0977515579250987e+01
4.2166557703503477e+03,4.3915722038783130e+01,5.8554750840244502e+01
1.4002368695141595e+03,3.9984722908959519e+01,7.0424537004252358e+01
1.8321251753511402e+02,8.0079291407488000e+00,8.5433591394155801e+00
1.2903499758059294e+02,9.8131567500388517e+00,1.6015072176942098e+01
8.6703371886395144e+02,2.0291507098888165e+01,2.7532690130355682e+01
1.1854170242006401e+03,2.1077892537231037e+01,2.4394653721912711e+01
1.4173248772671224e+02,1.1103469902604040e+01,1.8682683354950861e+01
8.3360501693405172e+02,3.4554854742614133e+01,6.3136376210828629e+01
2.2396596439287805e+03,2.8047433033341644e+01,3.1204347410049024e+01
5.0770542257989337e+02,2.5033410407512235e+01,4.4775531481531601e+01
1.7810632502483928e+04,7.6901770608751136e+01,7.7035483846855840e+01
4.0962210347746168e+02,1.5611198098044317e+01,2.4081344461134325e+01
1.3600139897475135e+03,3.8423244947971106e+01,6.7899632518969042e+01
8.9112661153118286e+04,1.7714578079202798e+02,1.7614587662745396e+02
8.9463476895506949e+02,2.4267595619952264e+01,3.8886431370113030e+01
1.9111777426658925e+03,3.3299561504585235e+01,5.0632354098100819e+01
1.3303408270892078e+02,1.0467310642962746e+01,1.7300212010684938e+01
6.1317204429202900e+02,3.4619704756229162e+01,6.4626802610843683e+01
4.4912214242519804e+03,6.0442031907539310e+01,1.0078268929048515e+02
2.2256339838506088e+02,9.6141460681975648e+00,1.1586517328269892e+01
5.8315008146753598e+01,5.0251208573602915e+00,6.5805586130727107e+00
1.8841513115765289e+02,1.4887499808709460e+01,2.6446502491706671e+01
1.0137329052121588e+04,6.4795872392093088e+01,8.0150521437074914e+01
3.3979425287361659e+02,1.7109476928323396e+01,2.9022737888313021e+01
6.7226740261789719e+03,6.4764604744645226e+01,1.0002881891261075e+02
5.0599066451253893e+03,4.0697209305722168e+01,3.6256996798014782e+01
4.5134864718221786e+02,2.3035426583871640e+01,4.0545013760944073e+01
7.9315735875105213e+02,3.0725611472692623e+01,5.4859681605705504e+01
2.5124565372618658e+03,3.2311071008798969e+01,4.0058151733269888e+01
4.2843104796348189e+03,4.3512694695139750e+01,5.6979668841387934e+01
4.0020217663296023e+02,3.1956047512440204e+01,6.0449104896251434e+01
3.6485323031656895e+02,1.8816977754324416e+01,3.2242958355205381e+01
2.7547051224352367e+03,3.1669621160879657e+01,3.6582741669852560e+01
4.1519816934568820e+02,1.2093186879144461e+01,1.2834995161446480e+01
4.2758071662557228e+02,1.5340852768571880e+01,2.2303163506216674e+01
2.8683070780124768e+02,9.8744581139771750e+00,1.0036492965534668e+01
1.0013001601492334e+02,8.8065643881893632e+00,1.4450308858829848e+01
1.6518379025127731e+03,3.1986954675677772e+01,4.8938964672904113e+01
4.0713815791250300e+02,2.3766125564891837e+01,4.3062617024003458e+01
6.2729110383877514e+02,2.2837868896740325e+01,3.7715265869922192e+01
1.0894456328775827e+03,2.6679932908871962e+01,4.1478805990245242e+01
1.6994531677624906e+02,8.2293090515189089e+00,1.0449554971298962e+01
1.2898800206600061e+01,2.0565810816490884e+00,2.1277487791979897e+00
1.0780644257046690e+02,7.7130697582983592e+00,1.1414937116166961e+01
7.9103645733797180e+02,3.6752712479371148e+01,6.7825767350294072e+01
1.0953911125357967e+04,7.7671018965692269e+01,1.1285442755972359e+02
7.1109164536528692e+02,1.6160596868249854e+01,1.7747207506259855e+01
3.0254145103139030e+02,1.1822402695519505e+01,1.5963880482720759e+01
1.1088995622998461e+03,3.4202648291991167e+01,5.9887642492921593e+01
3.2330456544758164e+02,2.8331187642813482e+01,5.3843312756955484e+01
1.7752630495639001e+04,8.1011024726402766e+01,8.9158689344162639e+01
3.8623365864347755e+02,1.2429682183521678e+01,1.5528643188941547e+01
1.5649276637593928e+04,8.5462337061803225e+01,1.1653717536233469e+02
7.9651673099986806e+02,1.7543637515979157e+01,2.0540214556864807e+01
6.3202226912037747e+02,1.5082459185279740e+01,1.6781355879785885e+01
1.0272110613293979e+02,7.1961169782749632e+00,1.0396248274313402e+01
2.6644806533684969e+03,3.1369093922023737e+01,3.6434688595984071e+01
3.5257099536767095e+02,2.7794882471382682e+01,5.2254205041458810e+01
1.9090341980350138e+02,1.1583410325718875e+01,1.8586666197218854e+01
3.9200429538223602e+02,1.6450813515771031e+01,2.6602571613806518e+01
1.2871864279905418e+01,2.1248589578910031e+00,2.3399601230227050e+00
2.1339268004902849e+04,9.4510661446863679e+01,1.1870583870265676e+02
3.3506073722630379e+02,2.9068976482446342e+01,5.5177361044688226e+01
1.7165933054167840e+03,3.4746838661446830e+01,5.5729122106791124e+01
8.4607299690995262e+02,2.1607598127039395e+01,3.1486363080199855e+01
9.8217691132008122e+02,1.8835387254460024e+01,2.0694047334914210e+01
2.9079253583982421e+02,2.2376805763819920e+01,4.1285717310915132e+01
3.0102533218938953e+02,2.4460557268811712e+01,4.5876144180653895e+01
3.7130263135917048e+01,3.4902303858973562e+00,3.6520691345432281e+00
3.6904770358556556e+02,2.8325009834029661e+01,5.3277904359971210e+01
2.1165278487534169e+02,2.2900326682000475e+01,4.3540565103214675e+01
1.8618214869642310e+02,2.5200820761105568e+01,4.8466236265945348e+01
1.8981019223172109e+02,2.0763793400809632e+01,3.9202563301670196e+01
2.4112446343171484e+02,2.1138224637216187e+01,3.9401711842417079e+01
3.5564732048971058e+02,2.8191193109490602e+01,5.3146932516758270e+01
1.1525911383227881e+03,2.2379276938747463e+01,2.8687646419772847e+01
3.0063078145129447e+02,2.6789108776829440e+01,5.0625898772911164e+01
1.3847820492756671e+03,3.2175679298096448e+01,5.2340299640675511e+01
1.7462356191536443e+02,1.6577371886301389e+01,3.0385981331387327e+01
3.9954898823746669e+02,1.4160529123435369e+01,2.0077822273950130e+01
6.4822932903125974e+01,5.1031980091931990e+00,6.3488437316060535e+00
4.5504761311930743e+04,1.3239969877349114e+02,1.5909473914196843e+02
1.4947031802779415e+02,1.1838522544569436e+01,2.0247536698813260e+01
2.3940686725614898e+02,1.1204011749682454e+01,1.6444719888301147e+01
6.9147950546453358e+03,6.3466509436406433e+01,9.6702480768057029e+01
3.9507293734032850e+04,1.3026951686376708e+02,1.6635182367032490e+02
4.3545416991681468e+03,4.4895759126617861e+01,6.0667330255712351e+01
4.3547789156159270e+03,5.4989354818972693e+01,8.8499719819449297e+01
1.7928517382514107e+02,2.6352917749253997e+01,5.0818847075628391e+01
6.6834434097114834e+04,1.6164141917630869e+02,1.9304081395517238e+02
2.3300335019253794e+03,3.7950768177663846e+01,5.9012974847549984e+01
8.4935603181127067e+02,3.5365398572105775e+01,6.4616039016215083e+01
4.1339256974717011e+02,2.6144121624132936e+01,4.8201761850726882e+01
6.4000270195849516e+03,5.7217792971306054e+01,8.3813680940852493e+01
2.8587024283466715e+04,9.4463697829269009e+01,8.2982559338828878e+01
2.2911299387379771e+02,1.5774200086818926e+01,2.7813934899145185e+01
6.6082094546055851e+02,1.9552349038025515e+01,2.9415328358217611e+01
1.3622731100246995e+02,8.2667696558889130e+00,1.1650936111193033e+01
1.0282708883109523e+04,7.2189953934843246e+01,1.0184982122649113e+02
6.5579634786040524e+03,6.0017326662516908e+01,8.9094979017615501e+01
4.3254829654590330e+03,4.7376554708330907e+01,6.6978499899553185e+01
1.1737767741257946e+02,9.0897286449468986e+00,1.4961751116017018e+01
3.1871235133767982e+03,5.3087508318646286e+01,8.9782118835986083e+01
2.2164380978125109e+03,3.5344988831510079e+01,5.1802740780836636e+01
2.7439456383143015e+03,3.4863048149702500e+01,4.7171035880638826e+01
